tanggal,harga_surabayakota,harga_malangkota,harga_banyuwangikab,harga_blitarkab,harga_jombangkab,harga_madiunkab,harga_malangkab,harga_mojokertokab,harga_nganjukkab,harga_pasuruankab,harga_sidoarjokab,harga_situbondokab,harga_madiunkota
2018-05-24,29500,28800,28000,25000,27500,30000,30200,34500,29500,24833,28500,28000,28666
2018-05-25,29500,28800,28000,25000,27500,30000,31160,34500,29500,24833,28500,28000,28666
2018-05-26,29500,28800,28000,25000,27500,30000,30600,34500,29500,24833,28500,28000,28666
2018-05-27,29500,28800,28000,25000,27500,30000,30600,34500,29500,24833,28500,28000,28666
2018-05-28,29500,28800,28000,25000,27500,30000,30600,34500,29500,24833,28500,28000,28666
2018-05-29,29500,29200,28000,25000,27500,30000,30800,34500,29500,24833,28500,28000,28666
2018-05-30,29500,28800,28000,25000,27500,30000,30800,34500,29500,24833,29000,28000,28666
2018-05-31,29500,28400,29000,25000,27500,30000,30800,34500,33500,24833,29000,28000,28666
2018-06-01,29500,28200,29000,25000,27500,30000,30800,34500,33500,24833,29000,28000,28666
2018-06-02,30000,28400,29000,25000,27500,30000,31000,34500,31500,24833,29000,28000,28666
2018-06-03,29000,28400,29000,25000,27500,29500,30800,34500,29500,24833,29000,28000,28666
2018-06-04,29000,28400,29000,25000,27500,29500,30500,34500,29500,24833,29000,28000,28666
2018-06-05,29000,28400,29000,25000,27500,29750,30000,34500,29500,24833,29000,28000,28666
2018-06-06,29500,28400,29000,25000,27500,30000,30000,34500,29500,24833,28500,28000,28666
2018-06-07,29500,28400,29000,25000,27500,30000,30000,34500,29500,24833,28500,28000,28666
2018-06-08,29000,28400,29000,25000,27500,30000,30000,34500,29500,24833,28500,28000,28666
2018-06-09,29000,28800,29000,25000,27500,30000,30200,34500,29500,24833,28500,28000,28666
2018-06-10,29000,29600,29000,25000,27500,30000,30200,34500,29500,24833,28500,28000,28666
2018-06-11,29000,29600,29000,25000,27500,30000,29800,34500,29500,24833,28500,28000,28666
2018-06-12,29000,29200,29000,25000,27500,30000,29800,34500,29500,24833,28500,28000,28666
2018-06-13,29000,29000,29000,25000,27500,30000,29800,34500,29500,24833,28500,28000,28666
2018-06-14,29000,29000,29000,25000,27500,30000,29600,34500,29500,24833,28500,28000,28666
2018-06-15,29000,28800,29000,25000,27500,30000,29600,34500,29500,24833,28500,28000,28666
2018-06-16,29000,29000,29000,25000,27500,30000,29200,34500,29500,24833,28500,28000,28666
2018-06-17,29000,29000,29000,25000,27500,30000,27200,34500,29500,24833,28500,28000,28666
2018-06-18,29000,28800,29000,25000,27500,30000,28800,34500,29500,24833,28500,28000,28666
