Tanggal,TMin,TMax,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
23-05-2021,20.8,28.8,24.3,78,1.4,6,4,80,2,SE
24-05-2021,20.2,29.6,24.1,81,8888,5.7,3,210,1,C 
25-05-2021,21.3,28.5,24.4,84,15.5,3.3,5,90,1,C 
26-05-2021,,29.8,,,,1.8,6,60,3,NE
27-05-2021,19.8,29.2,24.7,71,0,9.9,8,60,4,NE
28-05-2021,21.1,30,24.4,80,0,10.2,5,130,2,C 
29-05-2021,20.6,29.2,24.7,82,0.6,7.5,5,340,2,SE
30-05-2021,21.8,29.4,24.3,84,0,7,6,120,2,C 
31-05-2021,20.4,30.6,23.9,82,5.8,6,3,130,1,C 
01-06-2021,20.4,28.8,24.3,79,1.1,3,4,120,1,C 
02-06-2021,19.6,29.4,24.4,76,0.2,6.4,3,70,1,C 
03-06-2021,19.9,29.6,24.5,72,0,9.6,4,70,2,C 
04-06-2021,19.6,29.6,24.6,76,0,9.7,5,10,2,C 
05-06-2021,21.8,29.5,25,72,0,9.8,5,60,2,NE
06-06-2021,21,30.6,25.1,74,0,9.7,3,100,2,E 
07-06-2021,19.7,29.6,23.9,76,19.6,9,4,170,1,C 
08-06-2021,19.8,29.6,24.7,72,1,9.2,4,60,2,S 
09-06-2021,21.4,29,25,77,0,9.1,4,70,2,C 
10-06-2021,22.7,29.2,25.1,83,0,7.7,4,160,1,C 
11-06-2021,20.4,29.2,24.2,82,0.2,5.9,4,130,1,C 
12-06-2021,20,29.6,23.8,81,1,5.3,3,80,1,C 
13-06-2021,19.4,29.4,24.6,73,18.3,6.5,6,90,2,E 
14-06-2021,19.6,29.6,23.9,74,0,10,4,30,2,C 
15-06-2021,19.2,29.6,24.7,75,0,8.1,5,50,2,C 
16-06-2021,20.2,29,23.8,80,8888,7.3,10,80,4,E 
17-06-2021,20.4,28.9,24.1,81,0,6.8,4,110,1,C 
18-06-2021,19.8,30,23.2,82,8888,0.4,3,90,1,C 
19-06-2021,20,29,24.1,78,0,3.9,6,70,2,C 
20-06-2021,19.4,28.4,23.7,75,0.5,7.3,5,60,2,NE
21-06-2021,19.7,27.8,22.8,84,0,7,4,90,1,C 
