Summary,Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees)
13,25.231203312033124,88.46000000000001,6.487392839132627,41.19777158774373
2,24.81187111871119,91.94,8.283661119515886,350.25069637883007
2,24.97848078480785,84.4,8.549167927382754,350.25069637883007
12,26.780298802988032,80.34,3.5209278870398384,171.83844011142062
14,26.301062010620107,79.75999999999999,4.83862834089763,135.76601671309191
12,25.600927009270094,73.96000000000001,4.684568835098336,148.44011142061282
12,25.473629736297365,79.18,5.172970247100353,145.51532033426184
12,26.807443074430743,62.94,7.365859808371154,164.03899721448468
12,25.958482584825852,69.9,5.045133635905193,163.0640668523677
12,25.324804248042483,82.66,4.507564296520423,329.7771587743733
14,26.775618756187562,60.04,5.510590015128594,154.28969359331475
14,26.684825848258484,60.620000000000005,5.435199193141704,156.23955431754874
14,25.8630096300963,78.02,3.996217851739788,181.58774373259052
14,24.318594185941862,91.36,3.235753908219869,183.5376044568245
9,24.233417334173343,93.68,3.6225416036308626,172.81337047353762
14,25.640239402394023,64.68,4.904185577407968,338.55153203342616
5,26.947844478444786,83.24000000000001,4.16338880484115,78.24512534818942
12,26.655809558095584,95.42,4.202723146747353,176.71309192200556
13,26.60620106201062,94.25999999999999,3.0980837115481594,149.41504178272982
13,26.776554765547658,89.62,3.5733736762481088,204.98607242339833
14,26.21026910269103,91.94,2.642460917801311,144.54038997214485
5,27.144406444064444,89.03999999999999,2.9768028240040345,152.33983286908077
4,27.477625776257764,79.75999999999999,8.27710539586485,312.2284122562674
14,27.540338403384034,74.53999999999999,4.802571860816943,229.35933147632312
14,27.19869498694987,72.8,3.0849722642460917,125.041782729805
14,26.57718477184772,79.18,3.324256177508825,126.016713091922
12,26.68388983889839,86.72,2.845688350983359,283.95543175487467
12,26.513536135361356,91.36,4.497730711043873,321.97771587743733
12,26.791530915309153,82.66,3.655320221886031,263.4818941504178
13,25.827441274412745,95.42,2.6981845688350985,182.56267409470752
13,25.827441274412745,95.42,2.6260716086737266,165.98885793871867
13,25.922914229142293,90.2,4.179778113968734,263.4818941504178
13,26.133516335163353,89.62,5.084467977811397,282.9805013927577
3,26.4629916299163,77.44,8.903177004538577,291.7548746518106
13,26.30667806678067,86.14,6.870902672718104,273.23119777158774
3,26.327270272702727,85.56,8.21482602118003,301.5041782729805
2,26.49949599495995,82.66,9.407967725668179,311.2534818941504
10,27.2969759697597,85.56,3.8061018658598087,343.4261838440111
14,26.796210962109622,89.62,2.930912758446798,193.28690807799444
14,27.516938169381696,72.8,4.917297024710035,235.20891364902508
12,27.529106291062913,77.44,4.645234493192133,291.7548746518106
12,27.803357033570336,73.38,3.9601613716591024,287.85515320334264
13,24.797830978309783,96.0,2.6129601613716593,94.81894150417827
5,24.11548015480155,91.36,4.160110943015633,230.3342618384401
9,24.12109621096211,91.94,5.153303076147251,194.26183844011143
9,23.58569885698857,91.94,4.2092788703983866,194.26183844011143
9,23.734524345243454,91.94,3.6225416036308626,217.66016713091923
9,23.788812888128884,96.0,3.589762985375693,18.774373259052926
9,23.96759067590676,93.68,4.733736762481089,39.247910863509745
3,24.33076230762308,86.14,8.191880988401412,27.54874651810585
9,23.69427594275943,93.68,3.232476046394352,157.21448467966573
5,23.61377913779138,93.68,4.32072617246596,282.0055710306407
13,24.061191611916122,91.36,3.402924861321231,300.5292479108635
9,24.155728557285574,93.68,3.838880484114978,260.55710306406684
14,24.251201512015122,91.36,4.297781139687342,308.32869080779943
5,24.2980019800198,91.36,3.265254664649521,259.58217270194984
5,22.7919629196292,91.36,2.655572365103379,78.24512534818942
5,23.219719197191974,87.88,3.1865859808371155,209.8607242339833
12,24.535748357483577,89.62,4.297781139687342,154.28969359331475
5,24.160408604086044,83.82,3.9404942007060013,128.94150417827296
5,24.871775717757178,91.94,3.5078164397377707,151.3649025069638
9,23.303960039600398,93.68,4.160110943015633,157.21448467966573
14,23.144838448384483,90.78,3.2455874936964193,202.06128133704735
9,23.131734317343174,91.36,3.606152294503278,137.7158774373259
13,23.963846638466386,91.36,6.0547150781643975,174.76323119777157
9,23.976014760147603,91.36,6.087493696419566,165.98885793871867
14,24.99158491584916,91.94,4.59606656580938,227.40947075208913
12,24.742606426064263,87.88,4.12077660110943,200.11142061281336
12,24.174448744487446,86.72,4.553454362077661,148.44011142061282
14,26.14287642876429,74.53999999999999,5.2385274836106905,183.5376044568245
14,26.149428494284944,74.53999999999999,5.163136661623803,173.7883008356546
12,23.77290072900729,87.88,3.258698940998487,321.97771587743733
12,23.76447664476645,87.88,2.950579929399899,275.18105849582173
5,23.75979659796598,88.46000000000001,2.8981341401916287,260.55710306406684
12,23.76447664476645,74.53999999999999,6.244831064044377,303.45403899721447
13,23.041877418774188,87.88,3.1177508825012605,25.598885793871865
13,23.398496984969853,82.08,2.5998487140695916,28.52367688022284
13,23.30489604896049,79.75999999999999,3.9503277861825516,303.45403899721447
14,22.57948879488795,77.44,5.477811396873424,30.473537604456826
13,23.288047880478807,91.94,3.586485123550177,207.9108635097493
13,23.785068850688507,87.3,4.537065052950076,311.2534818941504
13,24.782854828548288,84.4,6.933182047402925,146.49025069637884
12,23.590378903789038,89.03999999999999,2.921079172970247,330.75208913649027
12,23.612843128431287,91.94,3.252143217347453,164.03899721448468
9,23.683043830438304,91.36,2.560514372163389,48.022284122562674
9,23.67929979299793,91.36,2.7145738779626827,19.749303621169915
9,23.77290072900729,91.36,3.3406454866364097,319.05292479108635
13,23.76447664476645,91.36,3.35047907211296,320.02785515320335
13,23.31238412384124,79.18,2.301563287947554,276.1559888579387
13,23.14109441094411,91.36,4.930408472012102,145.51532033426184
12,24.158536585365855,85.56,6.25138678769541,292.7298050139276
3,23.589442894428945,84.98,7.998487140695916,322.9526462395543
13,24.781918819188192,84.4,5.89409984871407,143.56545961002786
12,23.578210782107824,89.03999999999999,4.1928895612708015,143.56545961002786
12,23.406921069210693,93.68,3.6225416036308626,156.23955431754874
12,23.317064170641707,91.36,2.311396873424105,19.749303621169915
12,23.800981009810098,90.78,3.648764498234997,215.71030640668525
2,22.768562685626858,78.02,8.765506807866869,40.22284122562674
3,22.58978489784898,80.92,8.188603126575895,40.22284122562674
2,22.60288902889029,80.92,8.817952597075141,38.27298050139276
3,22.13956439564396,76.28,8.63767019667171,21.6991643454039
3,21.83348933489335,75.7,8.427887039838627,21.6991643454039
13,21.736144361443614,75.7,7.218356026222894,20.724233983286908
5,21.73708037080371,75.7,5.199193141704487,21.6991643454039
14,21.884033840338404,82.08,4.251891074130106,10.974930362116991
9,22.256565565655656,86.72,2.0,10.0
14,22.05719557195572,80.92,3.625819465456379,114.3175487465181
12,23.577274772747728,65.25999999999999,4.006051437216339,132.84122562674094
14,24.609693096930968,65.84,4.543620776601109,47.04735376044568
13,23.409729097290974,89.03999999999999,3.8061018658598087,296.6295264623955
13,24.14730447304473,91.36,3.5766515380736257,15.84958217270195
13,24.156664566645667,91.94,3.822491174987393,341.47632311977713
14,23.980694806948073,75.12,3.904437720625315,349.2757660167131
14,24.163216632166325,64.1,3.5930408472012108,357.075208913649
14,24.163216632166325,72.22,3.563540090771558,15.84958217270195
14,26.409639096390965,93.68,4.281391830559757,253.73259052924791
10,27.16219062190622,87.88,4.464952092788704,245.93314763231197
10,27.19120691206912,86.14,3.5602622289460415,246.90807799442896
5,26.74379443794438,91.94,2.609682299546142,359.025069637883
14,27.525362253622536,82.08,3.3111447302067574,341.47632311977713
5,26.321654216542164,84.4,3.3111447302067574,253.73259052924791
