Tanggal,Tavg,RH_avg,ff_x,ddd_x,Tavg_2,RH_avg_2,ff_x_2,ddd_x_2
23-05-2021,24.3,78,4,80,27.8,76,4,60
24-05-2021,24.1,81,3,210,27.5,80,4,150
25-05-2021,24.4,84,5,90,28,80,5,120
26-05-2021,,,6,60,27.8,84,5,150
27-05-2021,24.7,71,8,60,27.5,86,6,120
28-05-2021,24.4,80,5,130,27.6,84,4,130
29-05-2021,24.7,82,5,340,27.8,80,4,160
30-05-2021,24.3,84,6,120,27.8,78,4,100
31-05-2021,23.9,82,3,130,27.1,77,3,170
01-06-2021,24.3,79,4,120,26.9,75,4,130
02-06-2021,24.4,76,3,70,26.5,79,3,110
03-06-2021,24.5,72,4,70,26.9,80,4,70
04-06-2021,24.6,76,5,10,27.9,84,4,100
05-06-2021,25,72,5,60,27.2,79,5,150
06-06-2021,25.1,74,3,100,28,78,4,90
07-06-2021,23.9,76,4,170,27.9,73,4,130
08-06-2021,24.7,72,4,60,27.3,76,4,280
09-06-2021,25,77,4,70,25.8,90,3,180
10-06-2021,25.1,83,4,160,27.3,79,6,160
11-06-2021,24.2,82,4,130,26.7,79,4,140
12-06-2021,23.8,81,3,80,27.2,78,4,160
13-06-2021,24.6,73,6,90,26.7,78,3,170
14-06-2021,23.9,74,4,30,27.4,80,3,180
15-06-2021,24.7,75,5,50,26.8,85,6,40
16-06-2021,23.8,80,10,80,25.8,90,5,130
17-06-2021,24.1,81,4,110,27.2,80,4,200
18-06-2021,23.2,82,3,90,27.3,80,4,130
19-06-2021,24.1,78,6,70,27.2,79,3,140
20-06-2021,23.7,75,5,60,27.6,77,4,20
21-06-2021,22.8,84,4,90,27.9,78,4,160
22-06-2021,22.8,87,3,140,25.7,86,4,120
23-06-2021,24.1,80,6,100,26.8,84,3,150
24-06-2021,23.7,83,6,60,27.3,82,5,110
25-06-2021,23.7,87,5,70,25.1,94,4,170
26-06-2021,24.3,80,4,60,27.1,86,5,160
27-06-2021,24.6,78,4,50,27.4,82,3,140
28-06-2021,23.8,85,4,60,27.3,77,6,10
29-06-2021,24.1,76,5,130,26.9,80,4,160
30-06-2021,23.8,77,4,140,26.8,79,4,120
01-07-2021,23.4,76,4,190,26.7,81,5,240
02-07-2021,22.4,72,6,70,26.5,78,4,170
03-07-2021,23.5,76,4,180,27.1,79,5,200
04-07-2021,23.5,74,5,120,26.5,78,4,150
05-07-2021,22.1,71,7,180,25.7,74,6,170
06-07-2021,22.2,70,3,190,25.7,69,4,160
07-07-2021,22.1,72,3,120,25.8,76,5,120
08-07-2021,22.6,81,3,150,27.1,75,4,140
09-07-2021,23.6,83,3,60,26.1,87,3,140
10-07-2021,24.1,85,4,40,27.7,80,6,20
11-07-2021,24.8,63,10,120,26.9,85,4,300
12-07-2021,22.8,68,7,70,26.9,79,4,140
13-07-2021,24.2,76,7,160,26.5,77,4,120
14-07-2021,22.2,71,4,170,26.2,74,4,230
15-07-2021,23,72,7,200,26.1,75,7,170
16-07-2021,22.5,72,3,70,26.6,74,4,190
17-07-2021,22.3,77,3,140,26.4,80,4,190
18-07-2021,22.9,78,5,140,26.4,77,6,160
19-07-2021,23,78,7,50,25.8,80,5,140
20-07-2021,24.5,70,6,110,26.2,77,5,120
21-07-2021,24.4,76,5,170,26.8,80,4,170
22-07-2021,22.9,71,5,320,26.5,81,4,130
23-07-2021,23.1,75,6,250,26.4,81,6,170
24-07-2021,22.7,76,3,160,25.7,75,5,160
25-07-2021,22.4,74,6,110,25.8,75,5,150
26-07-2021,23.5,38,6,20,25,78,4,120
27-07-2021,21.4,60,4,60,25.4,79,5,130
28-07-2021,22,66,4,200,25.9,75,4,180
29-07-2021,23.3,70,5,140,26.5,79,5,150
30-07-2021,23.5,74,3,50,26.7,83,5,160
31-07-2021,23.5,82,6,130,26.4,83,7,140
01-08-2021,23,82,5,170,26.6,81,7,160
02-08-2021,23.2,80,5,150,23.6,96,3,220
03-08-2021,22.9,89,4,210,25.3,90,4,200
04-08-2021,24.4,76,6,80,26.6,86,4,160
05-08-2021,24.1,76,7,70,26.8,83,4,140
06-08-2021,23.7,69,6,20,27.5,80,4,130
07-08-2021,23.5,73,8,70,27.4,78,6,40
08-08-2021,25.1,75,5,140,27,84,3,170
09-08-2021,23.7,84,4,70,27,80,4,150
10-08-2021,23.5,77,3,150,26.4,81,4,140
11-08-2021,22.6,74,5,150,26.8,76,5,150
12-08-2021,23.8,76,7,150,25.4,,3,220
13-08-2021,24.1,79,4,180,27,82,5,160
